Time (s),Angle (rad)
0.,1.4842997435160017
0.1,1.4601737969851347
0.2,1.368939948360761
0.30000000000000004,1.2254377956952087
0.4,1.036115419012887
0.5,0.788762161099245
0.6000000000000001,0.5594512578302032
0.7000000000000001,0.2816776894556484
0.8,-0.008237516995622198
0.9,-0.25448554480625785
1.,-0.4465847261612772
1.1,-0.6386456199259184
1.2000000000000002,-0.8227367128962134
1.3,-0.8979268595655685
1.4000000000000001,-0.9371738032420771
1.5,-0.9785393754351305
1.6,-0.887992143618267
1.7000000000000002,-0.7871514866474256
1.8,-0.6484007943026261
1.9000000000000001,-0.4925653033014288
2.,-0.2927166273798394
2.1,-0.14232749682654042
2.2,0.043761778088915584
2.3000000000000003,0.22300212199719321
2.4000000000000004,0.3998736888737159
2.5,0.538516692343991
2.6,0.6203798524235674
2.7,0.7108155549418516
2.8000000000000003,0.7291037685697154
2.9000000000000004,0.712893417918613
3.,0.6393208837593332
3.1,0.5603197830876772
3.2,0.4240644180016174
3.3000000000000003,0.29743952315545136
3.4000000000000004,0.12217225736467621
3.5,-0.004169522188414838
3.6,-0.1600720395381514
3.7,-0.30610224803683134
3.8000000000000003,-0.3956973241747241
3.9000000000000004,-0.5047679856681955
4.,-0.559705126134774
4.1000000000000005,-0.5639038935364311
4.2,-0.5368320102984772
4.3,-0.4954023641891269
4.4,-0.427243972113359
4.5,-0.33510778202826513
4.6000000000000005,-0.2606688013556252
4.7,-0.15228487728874907
4.800000000000001,0.005944133295838552
4.9,0.13593627402454264
5.,0.24017069510848743
5.1000000000000005,0.3208318981900123
5.2,0.3993504971598404
5.300000000000001,0.46363299685670856
5.4,0.45119723036035436
5.5,0.4583052588890006
5.6000000000000005,0.45821274590963895
5.7,0.4159158330393836
5.800000000000001,0.28123777513703624
5.9,0.19163403506947302
6.,0.12224533832155064
6.1000000000000005,0.0019043779211361106
6.2,-0.08003462204549185
6.300000000000001,-0.174380317092922
6.4,-0.27855999745915794
6.5,-0.36749289431117493
6.6000000000000005,-0.3659474132475015
6.7,-0.3938285399557585
6.800000000000001,-0.40634523155355917
6.9,-0.3715835581608695
7.,-0.3558072107671477
7.1000000000000005,-0.23973840871140692
7.2,-0.16564016863675513
7.300000000000001,-0.08384129704531158
7.4,-0.025453094927465815
7.5,0.07647911402373901
7.6000000000000005,0.16407119458704245
7.7,0.2583866056240539
7.800000000000001,0.3296098626294679
7.9,0.37208955644179476
8.,0.38467382093022123
8.1,0.3449002879002535
8.200000000000001,0.35088309398790274
8.3,0.3025608553510206
8.4,0.20243413405768101
8.5,0.1293410186752356
8.6,0.047058499121717494
8.700000000000001,-0.011133687530672787
8.8,-0.08621890229459124
8.9,-0.16821555693143153
9.,-0.2512803735927374
9.1,-0.2880761226490758
9.200000000000001,-0.33406267624371355
9.3,-0.34242587963068516
9.4,-0.28925102321111196
9.5,-0.30989369955756874
9.600000000000001,-0.2672271091359295
9.700000000000001,-0.19067564631120623
9.8,-0.14340534911940236
9.9,-0.0467748256698556
10.,0.02885034647158477
10.100000000000001,0.0816499318976534
10.200000000000001,0.15849283632718913
10.3,0.18546093123823143
10.4,0.236055121638923
10.5,0.27262440728153414
10.600000000000001,0.2718059845080883
10.700000000000001,0.2990124559696382
10.8,0.2720306405706888
10.9,0.23347980316283945
11.,0.19060276628249923
11.100000000000001,0.09083514446344423
11.200000000000001,0.02639514970362894
11.3,-0.027720277348694092
11.4,-0.09559460962018794
11.5,-0.14986241848692616
11.600000000000001,-0.2025976801947783
11.700000000000001,-0.2450338344089535
11.8,-0.25084319443778574
11.9,-0.2612659150886387
12.,-0.24762249197752437
12.100000000000001,-0.23134806169463026
12.200000000000001,-0.19459755033017184
12.3,-0.15638312547827543
12.4,-0.11368468679259675
12.5,-0.05536321394002587
12.600000000000001,0.018439879350490136
12.700000000000001,0.0733303247865283
12.8,0.11504202681243343
12.9,0.1824571809043454
13.,0.1975898172523835
13.100000000000001,0.25945218628612854
13.200000000000001,0.25635102579687813
13.3,0.2547900834203407
13.4,0.19494634367175945
13.5,0.20564956155315836
13.600000000000001,0.1422754905880163
13.700000000000001,0.08913280613292669
13.8,0.00038255270053313625
13.9,-0.026957159969289442
14.,-0.08552267433931304
14.100000000000001,-0.15432099112069075
14.200000000000001,-0.1967518257692767
14.3,-0.20479932958007838
14.4,-0.2005135526872121
14.5,-0.20983439726221967
14.600000000000001,-0.20255114379980277
14.700000000000001,-0.17336579036124197
14.8,-0.14966042867088825
14.9,-0.12637891226135875
15.,-0.048352086056319216
15.100000000000001,-0.011544579524115507
15.200000000000001,0.016085401531666627
15.3,0.06689482035621896
15.4,0.10861236530456542
15.5,0.19270296044348026
15.600000000000001,0.21700554544691536
15.700000000000001,0.23335096473930947
15.8,0.1907200868211612
15.9,0.2196766866431661
16.,0.1983582974352045
16.1,0.15315863587789724
16.2,0.1338046857799268
16.3,0.05641375775522626
16.400000000000002,0.008489669766390017
16.5,-0.04881745150017067
16.6,-0.06083566185922522
16.7,-0.10079109672134252
16.8,-0.15061082074387971
16.900000000000002,-0.20803294868653957
17.,-0.16474385938908637
17.1,-0.17832883929675408
17.2,-0.21191982084206318
17.3,-0.1733890964868664
17.400000000000002,-0.1475879590529604
17.5,-0.09200860565030783
17.6,-0.04445137589649206
17.7,-0.014216786230732244
17.8,0.012708287225436495
17.900000000000002,0.11136305605712249
18.,0.12498004457036412
18.1,0.1333332602569593
18.2,0.15558292114183675
18.3,0.20622154348699429
18.400000000000002,0.17292410870933833
18.5,0.17598379661329333
18.6,0.1272110359495806
18.7,0.10875956955175377
18.8,0.0991401433791299
18.900000000000002,0.021997380415935797
19.,-0.010253534780206033
19.1,-0.02375100281455729
19.200000000000003,-0.0867911153670839
19.3,-0.1375736836415399
19.400000000000002,-0.13474426401910058
19.5,-0.1832096064126622
19.6,-0.16344481372392708
19.700000000000003,-0.16415593064752076
19.8,-0.1440668706170571
19.900000000000002,-0.11223768092008743
20.,-0.09527213121686368
20.1,-0.0720189119933457
20.200000000000003,-0.007228271731508716
20.3,-0.00023067606428068058
20.400000000000002,0.07538036800800327
20.5,0.09761358254642671
20.6,0.1394887131772698
20.700000000000003,0.15854496936552276
20.8,0.1529813807693916
20.900000000000002,0.16230846188866965
21.,0.1712911861163432
21.1,0.14719799125857197
21.200000000000003,0.1329352474750271
21.3,0.12218736044616586
21.400000000000002,0.09175832087200046
21.5,0.02472153369986254
21.6,-0.01286967259009242
21.700000000000003,-0.04824506838438288
21.8,-0.11180142121685738
21.900000000000002,-0.11171658699308996
22.,-0.14182587854092205
22.1,-0.12903202319334883
22.200000000000003,-0.13580796091203223
22.3,-0.16969476280561654
22.400000000000002,-0.1367338922318962
22.5,-0.11784067957860506
22.6,-0.07198876378072544
22.700000000000003,-0.05584348373150398
22.8,0.001749132190848872
22.900000000000002,0.003093064455811357
23.,0.0394556279368363
23.1,0.06087712333562889
23.200000000000003,0.11497845748673477
23.3,0.10504727554142171
23.400000000000002,0.15770369070759657
23.5,0.14105146030837895
23.6,0.131566131212798
23.700000000000003,0.11078776535750957
23.8,0.13566183527168446
23.900000000000002,0.1020343512695815
24.,0.0664592408979462
24.1,0.02660232515778964
24.200000000000003,-0.033292138499113125
24.3,-0.08639363730503688
24.400000000000002,-0.09215987089548812
24.5,-0.08372801750197326
24.6,-0.14468619598494248
24.700000000000003,-0.12740979183448795
24.8,-0.13363841156561926
24.900000000000002,-0.1403580076033943
25.,-0.12621202404577975
25.1,-0.12527843319146187
25.200000000000003,-0.08483263895491747
25.3,-0.01705779413197176
25.400000000000002,-0.023014488654138486
25.5,0.025812895208497368
25.6,0.06321537083936221
25.700000000000003,0.058896013458972336
25.8,0.11561188292850282
25.900000000000002,0.12613200304527988
26.,0.12426688478719597
26.1,0.10926385435335415
26.200000000000003,0.133153910214666
26.3,0.08302294659656884
26.400000000000002,0.07520839107567673
26.5,0.07808279120716297
26.6,0.0025467756052781204
26.700000000000003,0.0073762122973587176
26.8,-0.0315913644947942
26.900000000000002,-0.08438573335479083
27.,-0.08059199087865182
27.1,-0.10186451850362335
27.200000000000003,-0.1359758849694246
27.3,-0.10556009330924856
27.400000000000002,-0.12320766941215082
27.5,-0.10412214657226719
27.6,-0.07960238689035698
27.700000000000003,-0.09922386889195986
27.8,-0.050137569692782616
27.900000000000002,-0.01733860647548712
28.,-0.022615501575186762
28.1,0.01954306594891405
28.200000000000003,0.08298729309811786
28.3,0.05778347905952577
28.400000000000002,0.09460494149197049
28.5,0.10749298428264768
28.6,0.13407992479738992
28.700000000000003,0.1156621357129351
28.8,0.08487258538498929
28.900000000000002,0.1019553974533506
29.,0.0655221191473088
29.1,0.022758330307780718
29.200000000000003,0.021815565046308792
29.3,0.006159152133324906
29.400000000000002,-0.03837871881667794
29.5,-0.03855417528060957
29.6,-0.10356927686112903
29.700000000000003,-0.09368032581088334
29.8,-0.106065889008539
29.900000000000002,-0.10592439849390693
30.,-0.1089813929674438