Time (s),Altitude (m)
0.,-0.09220318806322092
0.2,4.893760818603621
0.4,18.912091508558373
0.6000000000000001,42.37212093485518
0.8,73.682616496155
1.,112.75149483271775
1.2000000000000002,158.4691595792115
1.4000000000000001,209.9698024203898
1.6,264.6248928545563
1.8,315.6738575959738
2.,362.4966182316667
2.2,405.322859912532
2.4000000000000004,444.79988557046346
2.6,481.7895799140008
2.8000000000000003,516.3176281442271
3.,548.2684047267296
3.2,578.4476815193855
3.4000000000000004,606.7951889688711
3.6,633.2275108657725
3.8000000000000003,658.3861299208968
4.,682.277141924199
4.2,704.7177945388445
4.4,726.0347327706917
4.6000000000000005,746.0727532672826
4.800000000000001,765.4797656548847
5.,783.5442565903927
5.2,800.5992152533364
5.4,817.241978801518
5.6000000000000005,832.7673595742627
5.800000000000001,847.6240015934467
6.,861.6666264958001
6.2,874.8348343063909
6.4,887.5184899090214
6.6000000000000005,899.4915393795325
6.800000000000001,911.0650566182094
7.,921.6585189975652
7.2,931.9009798585466
7.4,941.533569368904
7.6000000000000005,950.66619933675
7.800000000000001,959.5190876908437
8.,967.7567722228227
8.200000000000001,975.186233977041
8.4,982.4340814001973
8.6,988.7965712374438
8.8,995.2919342792921
9.,1001.0409418887724
9.200000000000001,1006.2744962263816
9.4,1010.9724108983868
9.600000000000001,1015.3829301494831
9.8,1019.6137396090488
10.,1023.0030903527961
10.200000000000001,1026.1293138676142
10.4,1029.0274180971003
10.600000000000001,1031.6035690545239
10.8,1033.3613464260868
11.,1034.9961484607138
11.200000000000001,1036.274873271321
11.4,1037.22186518841
11.600000000000001,1037.5301506427013
11.8,1037.314930744472
12.,1037.1331443494903